pk_tiempo,vch_centro,SEDE,RFFProcesado,RFFProcesadoPropios,RFFProcesadoTerceros,CPOObtenido,CPOObtenidoPropios,CPOObtenidoTerceros,FECHA,PLANTACION
20190206,3006,NH,160.92,42.73,118.19,37.41,4.91218,32.49782,2019-02-06,Nuevo Horizonte
20190206,3702,SH,607.7,607.7,0.0,151.45,150.34557,1.10443,2019-02-06,Shanuzi
20190207,3002,PW,761.86,659.18,102.68,190.0,166.84126,23.15874,2019-02-07,Palmawasi
20190207,3006,NH,205.92,59.16,146.76,47.55,6.24363,41.30637,2019-02-07,Nuevo Horizonte
20190207,3702,SH,539.4,527.09,12.31,131.64,130.68003,0.95997,2019-02-07,Shanuzi
20190208,3002,PW,990.79,857.25,133.54,245.88,215.91015,29.96985,2019-02-08,Palmawasi
20190208,3006,NH,245.28,35.43,209.85,56.62,7.43459,49.18541,2019-02-08,Nuevo Horizonte
20190208,3702,SH,702.24,689.87,12.37,173.64,172.37375,1.26625,2019-02-08,Shanuzi
20190209,3002,PW,0.0,-104.36,104.36,0.0,0.0,0.0,2019-02-09,Palmawasi
20190209,3006,NH,186.0,0.0,186.0,42.94,5.63831,37.30169,2019-02-09,Nuevo Horizonte
20190209,3702,SH,909.0,909.0,0.0,241.23,239.47086,1.75914,2019-02-09,Shanuzi
20190210,3002,PW,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-10,Palmawasi
20190210,3702,SH,633.45,633.45,0.0,153.905,152.78266,1.12234,2019-02-10,Shanuzi
20190211,3002,PW,850.71,763.36,87.35,215.0,188.79406,26.20594,2019-02-11,Palmawasi
20190211,3006,NH,205.92,0.0,205.92,47.69,6.26202,41.42798,2019-02-11,Nuevo Horizonte
20190211,3702,SH,344.1,343.16,0.94,79.673,79.09199,0.58101,2019-02-11,Shanuzi
20190212,3002,PW,993.22,885.73,107.49,253.0,222.16231,30.83769,2019-02-12,Palmawasi
20190212,3006,NH,222.3,27.28,195.02,52.1,6.84108,45.25892,2019-02-12,Nuevo Horizonte
20190212,3702,SH,740.0,740.0,0.0,190.425,189.03635,1.38865,2019-02-12,Shanuzi
20190213,3002,PW,1070.0,943.15,126.85,273.0,239.72455,33.27545,2019-02-13,Palmawasi
20190213,3006,NH,178.86,78.1,100.76,41.52,5.45185,36.06815,2019-02-13,Nuevo Horizonte
20190213,3702,SH,790.0,782.2,7.8,204.369,202.87866,1.49034,2019-02-13,Shanuzi
20190214,3002,PW,1001.51,859.01,142.5,259.0,227.43098,31.56902,2019-02-14,Palmawasi
20190214,3006,NH,278.4,0.0,278.4,65.36,8.58221,56.77779,2019-02-14,Nuevo Horizonte
20190214,3702,SH,670.0,670.0,0.0,176.526,175.2387,1.2873,2019-02-14,Shanuzi
20190215,3002,PW,974.67,861.71,112.96,250.0,219.52797,30.47203,2019-02-15,Palmawasi
20190215,3006,NH,293.4,49.26,244.14,34.72,4.55897,30.16103,2019-02-15,Nuevo Horizonte
20190215,3702,SH,726.15,719.65,6.5,189.559,188.17666,1.38234,2019-02-15,Shanuzi
20190216,3002,PW,673.98,576.43,97.55,173.0,151.91336,21.08664,2019-02-16,Palmawasi
20190216,3006,NH,241.5,22.58,218.92,27.86,3.6582,24.2018,2019-02-16,Nuevo Horizonte
20190216,3702,SH,732.96,732.96,0.0,176.19,174.90515,1.28485,2019-02-16,Shanuzi
20190217,3002,PW,0.0,0.0,0.0,0.0,0.0,0.0,2019-02-17,Palmawasi
20190217,3702,SH,470.4,465.85,4.55,120.692,119.81187,0.88013,2019-02-17,Shanuzi
20190218,3002,PW,758.28,697.87,60.41,192.67,169.18582,23.48418,2019-02-18,Palmawasi
20190218,3006,NH,163.84,0.0,163.84,39.97,5.24833,34.72167,2019-02-18,Nuevo Horizonte
20190218,3702,SH,161.7,155.48,6.22,41.986,41.67982,0.30618,2019-02-18,Shanuzi
20190219,3002,PW,712.11,614.87,97.24,179.3,157.44546,21.85454,2019-02-19,Palmawasi
20190219,3006,NH,160.835,40.58,120.255,36.31,4.76775,31.54225,2019-02-19,Nuevo Horizonte
20190219,3702,SH,859.75,841.28,18.47,204.746,203.25291,1.49309,2019-02-19,Shanuzi
20190220,3002,PW,820.65,742.32,78.33,207.6,182.29603,25.30397,2019-02-20,Palmawasi
