AÑO,MES,FECHA,PESO NETO T.M.,% VERDES,% MADUROS,% SMADUROS,% ESCOBAJO,TOTAL,FRUTO SUELTO K.G.,% IMPUREZAS,% PEDUNCULO,% MALFORMADO,PLANTACION
2024,Enero,2024-01-30,141.18,0.006608357628765792,0.9129251700680273,0.07852283770651118,0.001943634596695821,1,0.0,0.0,0.005247813411078718,0.008746355685131196,Palmawasi
2024,Enero,2024-01-31,138.24,0.004541484716157205,0.9170305676855895,0.07790393013100437,0.0005240174672489083,1,0.0,0.0,0.00296943231441048,0.006637554585152838,Palmawasi
2024,Febrero,2024-02-01,145.78,0.006291390728476821,0.9069536423841058,0.0857615894039735,0.0009933774834437086,1,0.0,0.0,0.004304635761589404,0.007947019867549669,Palmawasi
2024,Febrero,2024-02-02,161.29,0.003990610328638498,0.9096244131455399,0.0852112676056338,0.001173708920187793,1,0.0,0.0,0.004694835680751174,0.01384976525821596,Palmawasi
2024,Febrero,2024-02-03,141.13,0.005205205205205205,0.9125125125125125,0.08128128128128129,0.001001001001001001,1,0.0,0.0,0.003803803803803804,0.007007007007007007,Palmawasi
2024,Febrero,2024-02-05,146.9,0.003193033381712626,0.9097242380261248,0.0853410740203193,0.001741654571843251,1,0.0,0.0,0.003193033381712626,0.01538461538461539,Palmawasi
2024,Febrero,2024-02-06,140.46,0.00314922480620155,0.908672480620155,0.08648255813953488,0.001695736434108527,1,0.0,0.0,0.002422480620155039,0.01816860465116279,Palmawasi
2024,Febrero,2024-02-07,218.58,0.0037109375,0.90859375,0.0853515625,0.00234375,1,0.0,0.0,0.00703125,0.022265625,Palmawasi
2024,Febrero,2024-02-08,176.44,0.002736318407960199,0.9064676616915422,0.08855721393034825,0.002238805970149254,1,0.0001643618227159374,0.0,0.006965174129353234,0.0109452736318408,Palmawasi
2024,Febrero,2024-02-09,211.35,0.003187919463087248,0.9082214765100671,0.08624161073825504,0.002348993288590604,1,0.0,0.0,0.002516778523489933,0.01593959731543624,Palmawasi
2024,Febrero,2024-02-10,87.61,0.003378378378378379,0.9116424116424117,0.08341995841995842,0.001559251559251559,1,0.0,0.0,0.002338877338877339,0.01351351351351351,Palmawasi
2024,Febrero,2024-02-12,100.98,0.002991452991452991,0.9034188034188034,0.09188034188034189,0.001709401709401709,1,0.0,0.0,0.002564102564102564,0.03076923076923077,Palmawasi
2024,Febrero,2024-02-13,120.76,0.003404255319148936,0.9110638297872341,0.08425531914893616,0.001276595744680851,1,0.000455448824113945,0.0,0.002127659574468085,0.01106382978723404,Palmawasi
2024,Febrero,2024-02-14,135.13,0.003043478260869566,0.9121739130434783,0.08347826086956522,0.001304347826086957,1,0.0,0.0,0.001304347826086957,0.01652173913043478,Palmawasi
2024,Febrero,2024-02-15,123.66,0.003058823529411765,0.9105882352941178,0.08470588235294117,0.001647058823529412,1,0.0,0.0,0.002588235294117647,0.008941176470588235,Palmawasi
2024,Febrero,2024-02-16,145.23,0.003333333333333334,0.9079166666666667,0.08708333333333333,0.001666666666666667,1,0.000516422226812642,0.0,0.001666666666666667,0.02270833333333333,Palmawasi
2024,Febrero,2024-02-17,122.26,0.002255639097744361,0.9172932330827067,0.08045112781954887,0,1,0.001783085228202192,0.0,0.001503759398496241,0.03007518796992481,Palmawasi
2024,Febrero,2024-02-19,125.0,0.002663438256658596,0.9106537530266343,0.08523002421307506,0.001452784503631961,1,0.00048,0.0,0.002179176755447942,0.01501210653753027,Palmawasi
2024,Febrero,2024-02-20,151.44,0.003750493485984998,0.9054480852743783,0.08823529411764706,0.002566127121989736,1,0.0,0.0,0.002566127121989736,0.01756810106592973,Palmawasi
2024,Febrero,2024-02-21,238.08,0.002901785714285714,0.9078125,0.08660714285714285,0.002678571428571429,1,0.000126008064516129,0.0,0.004017857142857142,0.01495535714285714,Palmawasi
2024,Febrero,2024-02-22,174.98,0.003529411764705882,0.9091176470588235,0.085,0.002352941176470588,1,0.0006172133958166647,0.0,0.002941176470588236,0.01558823529411765,Palmawasi
2024,Febrero,2024-02-23,169.25,0.005555555555555556,0.9037037037037037,0.08796296296296297,0.002777777777777778,1,0.000413589364844904,0.0,0.002083333333333333,0.008564814814814815,Palmawasi
2024,Febrero,2024-02-24,149.03,0.003111111111111111,0.9097777777777778,0.08533333333333333,0.001777777777777778,1,0.0,0.0,0.002666666666666667,0.01511111111111111,Palmawasi
2024,Febrero,2024-02-26,100.68,0.003160919540229885,0.9109195402298851,0.08419540229885057,0.001724137931034483,1,0.0001191895113230036,0.0,0.002011494252873563,0.01149425287356322,Palmawasi
2024,Febrero,2024-02-27,100.85,0.007692307692307693,0.9053846153846153,0.08384615384615385,0.003076923076923077,1,0.0,0.0,0.003846153846153846,0.02153846153846154,Palmawasi
2024,Febrero,2024-02-28,136.51,0.003021148036253776,0.8996978851963746,0.09425981873111783,0.003021148036253776,1,0.0002930188264596,0.0,0.003021148036253776,0.02265861027190332,Palmawasi
2024,Febrero,2024-02-29,149.39,0.003556187766714083,0.9063537221431959,0.08771929824561403,0.002370791844476055,1,0.0002075105428743557,0.0,0.001185395922238028,0.01422475106685633,Palmawasi
2024,Marzo,2024-03-01,121.66,0.003069838833461244,0.9017651573292402,0.0920951650038373,0.003069838833461244,1,0.0,0.0,0.001151189562547966,0.01534919416730621,Palmawasi
2024,Marzo,2024-03-02,124.0,0.00178826895565093,0.913447782546495,0.08369098712446352,0.001072961373390558,1,4.032258064516129e-05,0.0,0.001072961373390558,0.01859799713876967,Palmawasi
2024,Marzo,2024-03-04,119.2,0.003724928366762178,0.9051575931232092,0.08968481375358166,0.001432664756446991,1,0.0004278523489932886,0.0,0.002005730659025788,0.01776504297994269,Palmawasi
2024,Marzo,2024-03-05,161.47,0.003805496828752643,0.9014799154334038,0.09154334038054969,0.003171247357293869,1,0.0,0.0,0.002325581395348837,0.02050739957716702,Palmawasi
2024,Marzo,2024-03-06,225.6,0.003333333333333334,0.9097916666666667,0.08458333333333333,0.002291666666666667,1,0.0,0.0,0.004791666666666666,0.01458333333333333,Palmawasi
2024,Marzo,2024-03-07,271.62,0.003511412089290193,0.8976674191121143,0.09731627790318535,0.001504890895410082,1,0.0,0.0,0.003511412089290193,0.004765487835465262,Palmawasi
2024,Marzo,2024-03-08,174.3,0.005232558139534884,0.9020348837209302,0.09127906976744186,0.001453488372093023,1,0.0,0.0,0.005813953488372094,0.009011627906976745,Palmawasi
2024,Marzo,2024-03-09,189.75,0.00723404255319149,0.8957446808510638,0.09404255319148937,0.002978723404255319,1,0.0,0.0,0.003404255319148936,0.01063829787234043,Palmawasi
2024,Marzo,2024-03-11,92.62,0.004677060133630289,0.8964365256124721,0.09665924276169265,0.0022271714922049,1,0.0,0.0,0.004231625835189309,0.01425389755011136,Palmawasi
2024,Marzo,2024-03-12,162.23,0.003495145631067961,0.9036893203883495,0.0912621359223301,0.001553398058252427,1,0.0,0.0,0.006213592233009709,0.006601941747572815,Palmawasi
2024,Marzo,2024-03-13,214.99,0.005793742757821553,0.9030513711857859,0.08903051371185786,0.00212437234453457,1,0.0,0.0,0.00656624179219776,0.008111239860950173,Palmawasi
2024,Marzo,2024-03-14,164.72,0.005756252481143311,0.9106788408098451,0.08277094084954346,0.0007939658594680428,1,0.0,0.0,0.003175863437872171,0.004168320762207225,Palmawasi
2024,Marzo,2024-03-15,142.16,0.007407407407407408,0.9059670781893004,0.08415637860082305,0.002469135802469136,1,0.0,0.0,0.003703703703703704,0.008024691358024692,Palmawasi
2024,Marzo,2024-03-16,146.2,0.00510204081632653,0.9163832199546486,0.07738095238095238,0.001133786848072562,1,0.0,0.0,0.003401360544217687,0.006519274376417234,Palmawasi
2024,Marzo,2024-03-18,122.55,0.003637245392822502,0.9054316197866149,0.08971871968962172,0.001212415130940834,1,0.0,0.0,0.003637245392822502,0.007759456838021339,Palmawasi
2024,Marzo,2024-03-19,215.34,0.006888361045130642,0.9085510688836105,0.08242280285035629,0.002137767220902613,1,0.0,0.0,0.003800475059382423,0.00665083135391924,Palmawasi
2024,Marzo,2024-03-20,157.66,0.004909560723514212,0.9043927648578811,0.08940568475452196,0.001291989664082687,1,0.0,0.0,0.004392764857881137,0.009302325581395349,Palmawasi
2024,Marzo,2024-03-21,148.7,0.004195804195804196,0.9104895104895104,0.08461538461538462,0.0006993006993006993,1,0.0,0.0,0.003496503496503497,0.004895104895104896,Palmawasi
2024,Marzo,2024-03-22,141.25,0.006298629121896999,0.9062615783623564,0.08521674694331234,0.002223045572434235,1,0.0,0.0,0.002964060763245647,0.007039644312708411,Palmawasi
2024,Marzo,2024-03-23,95.36,0.00379746835443038,0.9071729957805907,0.08818565400843882,0.0008438818565400844,1,0.0,0.0,0.002531645569620253,0.003375527426160338,Palmawasi
2024,Marzo,2024-03-25,182.86,0.004606525911708253,0.9047984644913628,0.08867562380038388,0.001919385796545105,1,0.0,0.0,0.0036468330134357,0.008253358925143953,Palmawasi
2024,Marzo,2024-03-26,188.59,0.006478405315614617,0.9026578073089702,0.0888704318936877,0.001993355481727575,1,0.0,0.0,0.003654485049833887,0.005813953488372094,Palmawasi
2024,Marzo,2024-03-27,211.25,0.004784688995215311,0.9088516746411485,0.0854066985645933,0.0009569377990430622,1,0.0,0.0,0.003588516746411483,0.006937799043062202,Palmawasi
2024,Marzo,2024-03-28,229.16,0.004503105590062111,0.908695652173913,0.08540372670807453,0.001397515527950311,1,0.0,0.0,0.002484472049689441,0.005434782608695652,Palmawasi
2024,Marzo,2024-03-29,90.11,0.005294117647058823,0.9079411764705883,0.08441176470588235,0.002352941176470588,1,0.0,0.0,0.003235294117647058,0.00823529411764706,Palmawasi
2024,Marzo,2024-03-30,141.25,0.005454545454545455,0.9110909090909091,0.08218181818181818,0.001272727272727273,1,0.0,0.0,0.004363636363636364,0.005818181818181818,Palmawasi
2024,Abril,2024-04-01,38.64,0.002905569007263923,0.913317191283293,0.08329297820823245,0.0004842615012106538,1,0.0,0.0,0.002905569007263923,0.00774818401937046,Palmawasi
2024,Abril,2024-04-02,156.21,0.006832298136645962,0.9145962732919255,0.07763975155279502,0.0009316770186335404,1,0.0,0.0,0.002484472049689441,0.01211180124223602,Palmawasi
2024,Abril,2024-04-03,199.63,0.004827586206896552,0.906896551724138,0.0856896551724138,0.002586206896551724,1,0.0,0.0,0.002413793103448276,0.0103448275862069,Palmawasi
2024,Abril,2024-04-04,209.47,0.005172413793103448,0.9073891625615763,0.08571428571428572,0.001724137931034483,1,0.0,0.0,0.00270935960591133,0.01182266009852217,Palmawasi
2024,Abril,2024-04-05,164.53,0.005263157894736842,0.9042444821731749,0.08760611205432937,0.002886247877758913,1,0.0,0.0,0.003904923599320883,0.008828522920203734,Palmawasi
2024,Abril,2024-04-06,151.08,0.0064,0.9052,0.087,0.0014,1,0.0,0.0,0.0034,0.0118,Palmawasi
2024,Abril,2024-04-08,139.8,0.005213764337851929,0.9030239833159541,0.08905109489051095,0.002711157455683003,1,0.0,0.0,0.005005213764337852,0.00959332638164755,Palmawasi
2024,Abril,2024-04-09,151.5,0.004704875962360992,0.9084687767322499,0.08532934131736528,0.001497005988023952,1,0.0,0.0,0.005132591958939265,0.008768177929854577,Palmawasi
2024,Abril,2024-04-10,157.97,0.005194805194805195,0.9058441558441559,0.0867965367965368,0.002164502164502165,1,0.0,0.0,0.004112554112554113,0.009523809523809525,Palmawasi
2024,Abril,2024-04-11,203.89,0.007575757575757576,0.9130434782608695,0.07872200263504611,0.0006587615283267457,1,0.0,0.0,0.003623188405797101,0.00872859025032938,Palmawasi
2024,Abril,2024-04-12,158.38,0.0060790273556231,0.9083469721767594,0.08463876548982932,0.0009352349777881693,1,0.0,0.0,0.003273322422258593,0.007715688566752397,Palmawasi
2024,Abril,2024-04-13,134.71,0.003176043557168784,0.9047186932849365,0.0911978221415608,0.0009074410163339383,1,0.0,0.0,0.002041742286751361,0.005898366606170599,Palmawasi
2024,Abril,2024-04-15,85.91,0.003840472673559823,0.908714918759232,0.08124076809453472,0.006203840472673559,1,0.0,0.0,0.002658788774002954,0.006499261447562776,Palmawasi
2024,Abril,2024-04-16,143.68,0.004279279279279279,0.9105855855855856,0.08400900900900901,0.001126126126126126,1,0.0,0.0,0.003603603603603604,0.01103603603603604,Palmawasi
2024,Abril,2024-04-17,197.37,0.004289544235924933,0.9127792672028597,0.08132260947274352,0.00160857908847185,1,0.0,0.0,0.003753351206434317,0.00804289544235925,Palmawasi
2024,Abril,2024-04-18,219.44,0.004595836712625033,0.9156528791565288,0.07812922411462557,0.0016220600162206,1,0.0,0.0,0.003514463368477968,0.009191673425250067,Palmawasi
2024,Abril,2024-04-19,188.83,0.005250596658711217,0.9071599045346062,0.08568019093078759,0.001909307875894988,1,0.0,0.0,0.003341288782816229,0.01073985680190931,Palmawasi
2024,Abril,2024-04-20,130.44,0.003852080123266564,0.9092835130970726,0.08513097072419107,0.001733436055469954,1,0.0,0.0,0.003081664098613251,0.008859784283513097,Palmawasi
2024,Abril,2024-04-22,130.39,0.004187604690117253,0.9137353433835846,0.08068118369625907,0.001395868230039084,1,0.0,0.0,0.003350083752093802,0.01228364042434394,Palmawasi
2024,Abril,2024-04-23,141.59,0.00633373934226553,0.9157125456760049,0.07600487210718636,0.00194884287454324,1,0.0,0.0,0.00535931790499391,0.01388550548112059,Palmawasi
2024,Abril,2024-04-24,78.84,0.00583941605839416,0.9128953771289537,0.08077858880778589,0.0004866180048661801,1,0.0,0.0,0.00194647201946472,0.009732360097323601,Palmawasi
2024,Abril,2024-04-25,131.1,0.004011461318051576,0.9151862464183381,0.07879656160458452,0.002005730659025788,1,0.0,0.0,0.005730659025787965,0.00830945558739255,Palmawasi
2024,Abril,2024-04-26,136.25,0.005615550755939525,0.9023758099352052,0.0898488120950324,0.002159827213822894,1,0.0,0.0,0.004535637149028078,0.01166306695464363,Palmawasi
2024,Abril,2024-04-27,141.51,0.005445544554455445,0.8987623762376238,0.09306930693069307,0.002722772277227723,1,0.0,0.0,0.003712871287128713,0.01584158415841584,Palmawasi
2024,Abril,2024-04-29,117.48,0.003562945368171022,0.914251781472684,0.08076009501187649,0.001425178147268409,1,0.0,0.0,0.002850356294536817,0.01852731591448931,Palmawasi
2024,Abril,2024-04-30,193.6,0.006128904705417161,0.909252669039146,0.0826413602214314,0.001977066034005536,1,0.0,0.0,0.003558718861209964,0.01581652827204429,Palmawasi
2024,Mayo,2024-05-01,100.78,0.003607214428857715,0.9092184368737475,0.08697394789579159,0.0002004008016032064,1,0.0,0.0,0.002404809619238477,0.003006012024048096,Palmawasi
2024,Mayo,2024-05-02,227.99,0.004474272930648769,0.9080536912751678,0.08680089485458613,0.0006711409395973155,1,0.0,0.0,0.001118568232662192,0.003355704697986577,Palmawasi
2024,Mayo,2024-05-03,124.16,0.004467912266450041,0.9073923639317628,0.08651502843216897,0.001624695369618197,1,0.0,0.0,0.002640129975629569,0.008529650690495532,Palmawasi
2024,Mayo,2024-05-04,124.67,0.00404040404040404,0.9127640036730946,0.08172635445362718,0.001469237832874196,1,0.0,0.0,0.002387511478420569,0.009366391184573003,Palmawasi
2024,Mayo,2024-05-06,144.58,0.00416988416988417,0.9017760617760617,0.09142857142857143,0.002625482625482625,1,0.0,0.0,0.003088803088803089,0.01513513513513514,Palmawasi
2024,Mayo,2024-05-07,123.71,0.005797101449275362,0.9094202898550725,0.08369565217391305,0.00108695652173913,1,0.0,0.0,0.003623188405797101,0.005797101449275362,Palmawasi
2024,Mayo,2024-05-08,171.98,0.003723404255319149,0.9039007092198581,0.09095744680851064,0.001418439716312057,1,0.0,0.0,0.001773049645390071,0.007269503546099291,Palmawasi
2024,Mayo,2024-05-09,258.27,0.005279187817258883,0.9094416243654823,0.08446700507614213,0.0008121827411167512,1,0.0,0.0,0.003451776649746193,0.005482233502538071,Palmawasi
2024,Mayo,2024-05-10,140.89,0.00726698262243286,0.9099526066350712,0.08151658767772511,0.001263823064770932,1,0.0,0.0,0.002843601895734597,0.009162717219589257,Palmawasi
2024,Mayo,2024-05-11,159.54,0.004775280898876405,0.9182584269662921,0.07584269662921349,0.001123595505617978,1,0.0,0.0,0.002528089887640449,0.01264044943820225,Palmawasi
2024,Mayo,2024-05-13,67.71000000000001,0.007075471698113209,0.909433962264151,0.0820754716981132,0.001415094339622641,1,0.0,0.0,0.003773584905660377,0.02924528301886792,Palmawasi
2024,Mayo,2024-05-14,121.19,0.006451612903225806,0.9079178885630499,0.08533724340175954,0.0002932551319648094,1,0.0,0.0,0.00469208211143695,0.00997067448680352,Palmawasi
2024,Mayo,2024-05-15,163.15,0.004444444444444444,0.9114529914529914,0.08307692307692308,0.001025641025641026,1,0.0,0.0,0.005128205128205128,0.006837606837606838,Palmawasi
2024,Mayo,2024-05-16,215.36,0.005333333333333333,0.904,0.08872727272727272,0.001939393939393939,1,0.0,0.0,0.004121212121212121,0.01066666666666667,Palmawasi
2024,Mayo,2024-05-17,216.74,0.003941908713692946,0.9087136929460581,0.08506224066390042,0.002282157676348548,1,0.0,0.0,0.002904564315352697,0.01286307053941909,Palmawasi
2024,Mayo,2024-05-18,97.93,0.00376325692781389,0.9059185768046527,0.08826548067054396,0.002052685596989394,1,0.0,0.0,0.003421142661648991,0.00786862812179268,Palmawasi
2024,Mayo,2024-05-20,86.86,0.003755868544600939,0.9070422535211268,0.0892018779342723,0,1,0.0,0.0,0.002816901408450704,0.008450704225352112,Palmawasi
2024,Mayo,2024-05-21,169.64,0.004650179666032551,0.9099556119213696,0.08306911857958148,0.002325089833016276,1,0.0,0.0,0.008666243923060663,0.01225956457408582,Palmawasi
2024,Mayo,2024-05-22,120.31,0.004347826086956522,0.896583850931677,0.09627329192546584,0.002795031055900621,1,0.0,0.0,0.004037267080745342,0.01521739130434783,Palmawasi
2024,Mayo,2024-05-23,137.12,0.008477842003853564,0.9105973025048171,0.0788053949903661,0.002119460500963391,1,0.0,0.0,0.004238921001926782,0.008863198458574181,Palmawasi
2024,Mayo,2024-05-24,133.41,0.003933434190620273,0.914069591527988,0.0804841149773071,0.00151285930408472,1,0.0,0.0,0.004236006051437216,0.006354009077155825,Palmawasi
2024,Mayo,2024-05-25,174.33,0.004691358024691358,0.9150617283950617,0.07925925925925927,0.0009876543209876543,1,0.0,0.0,0.002962962962962962,0.009382716049382716,Palmawasi
2024,Mayo,2024-05-27,59.6,0.003535353535353536,0.9116161616161617,0.08333333333333333,0.001515151515151515,1,0.0,0.0,0.001767676767676768,0.0148989898989899,Palmawasi
2024,Mayo,2024-05-28,110.58,0.004180064308681672,0.9144694533762058,0.07909967845659165,0.0022508038585209,1,0.0,0.0,0.0022508038585209,0.02379421221864952,Palmawasi
2024,Mayo,2024-05-29,187.19,0.005084745762711864,0.919774011299435,0.07372881355932204,0.001412429378531073,1,0.0,0.0,0.001129943502824859,0.01242937853107345,Palmawasi
2024,Mayo,2024-05-30,221.89,0.005895691609977325,0.910657596371882,0.08140589569160998,0.002040816326530612,1,0.0,0.0,0.0036281179138322,0.0108843537414966,Palmawasi
2024,Mayo,2024-05-31,189.38,0.004207119741100324,0.919093851132686,0.07540453074433658,0.001294498381877023,1,0.0,0.0,0.003236245954692557,0.02168284789644013,Palmawasi
2024,Junio,2024-06-01,89.95,0.007246376811594203,0.9111111111111111,0.07971014492753623,0.001932367149758454,1,0.0,0.0,0.002898550724637681,0.01304347826086956,Palmawasi
2024,Junio,2024-06-03,53.7,0.00315855969677827,0.9128237523689198,0.08338597599494631,0.0006317119393556538,1,0.0,0.0,0.002526847757422615,0.01326595072646873,Palmawasi
2024,Junio,2024-06-04,174.52,0.004519774011299435,0.9105461393596986,0.08418079096045197,0.0007532956685499058,1,0.0,0.0,0.003766478342749529,0.005649717514124294,Palmawasi
2024,Junio,2024-06-05,93.61,0.006393861892583121,0.9179028132992327,0.07468030690537085,0.001023017902813299,1,0.0,0.0,0.003324808184143222,0.006905370843989771,Palmawasi
