FECHA,PLANTACION,VERDES,MADUROS,SMADUROS,PEDUNCULO,ESCOBAJO,MALFORMADOA,MALFORMADOB,Peso,Racimos
2022-01-28,Shanuzi,,,,,,,,846587.66487,58788.0
2022-01-29,Nuevo Horizonte,,,,,,,,19216.3163,1447.0
2022-01-29,Palmawasi,13.0,3497.0,344.0,0.0,0.0,76.0,17.0,921008.54007,45013.0
2022-01-29,Shanuzi,,,,,,,,911753.97905,63099.0
2022-01-30,Palmawasi,,,,,,,,139197.34391,6544.0
2022-01-30,Shanuzi,,,,,,,,107586.08256,7232.0
2022-01-31,Nuevo Horizonte,,,,,,,,23682.868,1769.0
2022-01-31,Palmawasi,11.0,3286.0,587.0,0.0,0.0,86.0,15.0,859183.9582100001,40229.0
2022-01-31,Shanuzi,,,,,,,,780620.05461,54305.0
2022-02-01,Nuevo Horizonte,,,,,,,,25619.72681,1909.0
2022-02-01,Palmawasi,16.0,2902.0,184.0,1.0,0.0,94.0,23.0,1010500.30273,47215.0
2022-02-01,Shanuzi,,,,,,,,926072.54999,62396.0
2022-02-02,Nuevo Horizonte,,,,,,,,29492.27218,1946.0
2022-02-02,Palmawasi,20.0,3639.0,269.0,2.0,0.0,84.0,18.0,870861.55632,45900.0
2022-02-02,Shanuzi,,,,,,,,1531989.76151,66167.0
2022-02-03,Nuevo Horizonte,,,,,,,,17326.100430000002,1200.0
2022-02-03,Palmawasi,19.0,2810.0,362.0,1.0,0.0,73.0,19.0,984046.19848,46590.0
2022-02-03,Shanuzi,,,,,,,,1317794.33461,57751.0
2022-02-04,Nuevo Horizonte,,,,,,,,26389.605160000003,1895.0
2022-02-04,Palmawasi,23.0,4188.0,205.0,2.0,0.0,130.0,18.0,955205.1374199999,44541.0
2022-02-04,Shanuzi,,,,,,,,1070168.43799,52733.0
2022-02-05,Nuevo Horizonte,,,,,,,,21289.99587,1592.0
2022-02-05,Palmawasi,15.0,2574.0,270.0,1.0,0.0,63.0,14.0,809123.30365,37886.0
2022-02-05,Shanuzi,,,,,,,,75361.594,4053.0
2022-02-07,Nuevo Horizonte,,,,,,,,16731.62484,1283.0
2022-02-07,Palmawasi,8.0,3198.0,266.0,2.0,0.0,62.0,7.0,382527.06585,18083.0
2022-02-07,Shanuzi,,,,,,,,16802.79896,910.0
2022-02-08,Nuevo Horizonte,,,,,,,,22482.71335,1724.0
2022-02-08,Palmawasi,24.0,3662.0,179.0,5.0,0.0,99.0,25.0,930195.38547,42369.0
2022-02-08,Shanuzi,,,,,,,,721438.61022,41169.0
2022-02-09,Nuevo Horizonte,,,,,,,,29013.05312,2154.0
2022-02-09,Palmawasi,25.0,4412.0,277.0,16.0,0.0,109.0,18.0,940013.88537,43440.0
2022-02-09,Shanuzi,,,,,,,,983681.181,60648.0
2022-02-10,Nuevo Horizonte,,,,,,,,30736.40705,2292.0
2022-02-10,Palmawasi,18.0,2123.0,110.0,0.0,0.0,30.0,20.0,1012330.14751,47793.0
2022-02-10,Shanuzi,,,,,,,,1020306.26507,62136.0
2022-02-11,Nuevo Horizonte,,,,,,,,34113.55094,2486.0
