AÑO;MES;DIA;RFF PROCESADO;TM CONDENSADO;TM ACEITE CONDENSADO;% PERDIDA ACEITE CONDENSADO;TM ESCOBAJO SIN PICAR;TM ACEITE ESCOBAJO SIN PICAR;% PERDIDA ACEITE ESCOBAJO SIN PICAR;TM ESCOBAJO PICADO;TM ACEITE ESCOBAJO PICADO;% PERDIDA ACEITE ESCOBAJO PICADO;% PERDIDA TOTAL ACEITE ESCOBAJO;% RACIMOS DUROS;% RACIMOS MAL DESFRUTADO ANORMAL;% RACIMO MAL DESFRUTADO;FACTOR;TM ACEITE RACIMO MAL DESFRUTADO;% EN PESO DE FRUTO ADHERIDO;% PERDIDA ACEITE FRUTO ADHERIDO NORMAL;TM FIBRA;TM ACEITE FIBRA;% PERDIDA ACEITE FIBRA;M3 AGUA TD;TM ACEITE AGUA TD;% PERDIDA ACEITE AGUA TD;TM SOLIDOS TD;TM ACEITE SOLIDO TD;% PERDIDA ACEITE SOLIDO TD;TM ARENA;TM ACEITE EN ARENA;% PERDIDA ACEITE EN ARENA;TM NUEZ;TM ACEITE CASCARA;% PERDIDA ACEITE EN CASCARA;% PERDIDA TOTAL;PLANTACION;FECHA
2024;Marzo;20/03/2024 00:00;232.40671;14.64162273;0.039068;0.000168102;40.67117425;1.916426;0.008246001;0;0;0;0.008246001;0.045;0.006666;0.063333;0.73046924;0.1825;0.000785;0.000785261;39.5091407;1.491023;0.006415576;58.1016775;0.551182;0.002371627;15.10643615;0.490557;0.00211077;0.488054091;0.022572;9.71E-05;16.2684697;0.102316;0.000440245;0.020634705;Nuevo Horizonte;20/03/2024
2024;Marzo;21/03/2024 00:00;190.50056;12.00153528;0.019994;0.000104955;33.337598;1.690216;0.008872499;0;0;0;0.008872499;0.043333;0.01;0.063333;0.576596432;0.1496;0.000785;0.0007853;32.3850952;1.076637;0.005651621;47.62514;0.361963;0.001900063;12.3825364;0.410737;0.002156093;0.400051176;0.018502;9.71E-05;13.3350392;0.168189;0.000882879;0.020450533;Nuevo Horizonte;21/03/2024
2024;Marzo;22/03/2024 00:00;131.49463;8.28416169;0.015655;0.000119054;23.01156025;1.081313;0.008223248;0;0;0;0.008223248;0.045;0.0225;0.025;0.413448167;0.0407;0.000309;0.000309518;22.3540871;0.691615;0.005259644;32.8736575;0.204753;0.001557121;8.54715095;0.248646;0.001890921;0.276138723;0.012771;9.71E-05;9.2046241;0.051144;0.000388944;0.017845573;Nuevo Horizonte;22/03/2024
2024;Marzo;23/03/2024 00:00;172.15492;10.84575996;0.025449;0.000147826;30.127111;1.325593;0.007700001;0;0;0;0.007700001;0.045;0.02;0.06;0.541080307;0.1281;0.000744;0.000744097;29.2663364;0.970332;0.005636388;43.03873;0.461867;0.002682857;11.1900698;0.281614;0.001635817;0.361525332;0.01672;9.71E-05;12.0508444;0.062063;0.000360507;0.019004615;Nuevo Horizonte;23/03/2024
2024;Marzo;24/03/2024 00:00;0;0;0;-;0;0;-;0;0;-;-;-;-;-;-;0;-;-;0;0;-;0;0;-;0;0;-;0;0;-;0;0;-;-;Nuevo Horizonte;24/03/2024
2024;Marzo;25/03/2024 00:00;189.5292;11.9403396;0.022403;0.000118203;33.16761;1.097914;0.005792849;0;0;0;0.005792849;0.043333;0.01;0.056666;0.573700647;0.1332;0.000702;0.000702794;32.219964;1.149091;0.006062871;47.3823;0.485944;0.002563953;12.319398;0.351355;0.00185383;0.39801132;0.018408;9.71E-05;13.267044;0.151659;0.000800188;0.017991813;Nuevo Horizonte;25/03/2024
2024;Marzo;26/03/2024 00:00;163.96755;10.32995565;0.04685;0.000285727;28.69432125;1.288834;0.007860299;0;0;0;0.007860299;0.045;0.015;0.07;0.515300225;0.1423;0.000867;0.000867855;27.8744835;0.873272;0.005325883;40.9918875;0.538927;0.003286791;10.65789075;0.287552;0.001753713;0.344331855;0.015925;9.71E-05;11.4777285;0.110286;0.000672609;0.020149999;Nuevo Horizonte;26/03/2024
2024;Marzo;27/03/2024 00:00;247.80446;15.61168098;0.013482;5.44E-05;43.3657805;2.2179;0.008950202;0;0;0;0.008950202;0.044;0.012;0.068;0.761520965;0.209;0.000843;0.000843407;42.1267582;1.365766;0.005511467;61.951115;0.805867;0.003252028;16.1072899;0.491875;0.001984932;0.520389366;0.057287;0.000231178;17.3463122;0.081656;0.000329518;0.021157137;Nuevo Horizonte;27/03/2024
2024;Marzo;28/03/2024 00:00;225.53171;14.20849773;0.069374;0.000307602;39.46804925;2.436639;0.010803975;0;0;0;0.010803975;0.04;0.014;0.064;0.630171981;0.179;0.000793;0.00079368;38.3403907;1.207742;0.005355087;56.3829275;0.538284;0.002386733;14.65956115;0.461747;0.002047371;0.473616591;0.030825;0.000136677;15.7872197;0.129633;0.000574788;0.022405914;Nuevo Horizonte;28/03/2024
2024;Marzo;29/03/2024 00:00;124.52327;7.84496601;0.043371;0.000348296;21.79157225;1.60403;0.012881367;0;0;0;0.012881367;0.043333;0.023333;0.043333;0.376963257;0.0669;0.000537;0.000537249;21.1689559;0.702872;0.005644503;31.1308175;0.29705;0.002385498;8.09401255;0.294769;0.00236718;0.261498867;0.017019;0.000136673;8.7166289;0.048992;0.000393437;0.024694204;Nuevo Horizonte;29/03/2024
