FECHA,PLANTACION,PRECIPITACION_TOTAL
2019-07-01,Palmawasi,9.1
2019-07-02,Nuevo Horizonte,0.0
2019-07-02,Palmawasi,0.0
2019-07-03,Nuevo Horizonte,0.0
2019-07-03,Palmawasi,0.2
2019-07-04,Nuevo Horizonte,0.0
2019-07-04,Palmawasi,0.0
2019-07-05,Nuevo Horizonte,0.0
2019-07-05,Palmawasi,0.0
2019-07-06,Nuevo Horizonte,8.5
2019-07-06,Palmawasi,42.1
2019-07-07,Nuevo Horizonte,10.7
2019-07-07,Palmawasi,46.9
2019-07-08,Nuevo Horizonte,0.0
2019-07-08,Palmawasi,0.0
2019-07-09,Nuevo Horizonte,0.0
2019-07-09,Palmawasi,12.1
2019-07-10,Nuevo Horizonte,0.0
2019-07-10,Palmawasi,7.6000000000000005
2019-07-11,Nuevo Horizonte,0.0
2019-07-11,Palmawasi,0.0
2019-07-12,Nuevo Horizonte,0.0
2019-07-12,Palmawasi,13.1
2019-07-13,Nuevo Horizonte,35.2
2019-07-13,Palmawasi,26.8
2019-07-14,Nuevo Horizonte,0.0
2019-07-14,Palmawasi,2.5
2019-07-15,Nuevo Horizonte,0.0
2019-07-15,Palmawasi,0.0
2019-07-16,Nuevo Horizonte,29.0
2019-07-16,Palmawasi,0.2
2019-07-17,Nuevo Horizonte,0.0
2019-07-17,Palmawasi,130.7
2019-07-18,Nuevo Horizonte,0.0
2019-07-18,Palmawasi,3.4
2019-07-19,Nuevo Horizonte,0.0
2019-07-19,Palmawasi,0.0
2019-07-20,Nuevo Horizonte,1.0
2019-07-20,Palmawasi,29.499999999999996
2019-07-21,Nuevo Horizonte,0.0
2019-07-21,Palmawasi,0.6
2019-07-22,Nuevo Horizonte,0.0
2019-07-22,Palmawasi,3.1999999999999997
2019-07-23,Nuevo Horizonte,0.0
2019-07-23,Palmawasi,92.7
2019-07-24,Nuevo Horizonte,0.0
2019-07-24,Palmawasi,7.8
2019-07-25,Nuevo Horizonte,0.0
2019-07-25,Palmawasi,5.5
2019-07-26,Nuevo Horizonte,35.0
2019-07-26,Palmawasi,26.6
2019-07-27,Nuevo Horizonte,52.0
2019-07-27,Palmawasi,467.9
2019-07-28,Nuevo Horizonte,2.3
2019-07-28,Palmawasi,7.1000000000000005
2019-07-29,Nuevo Horizonte,0.0
2019-07-29,Palmawasi,13.8
2019-07-30,Nuevo Horizonte,0.0
2019-07-30,Palmawasi,0.0
2019-07-31,Nuevo Horizonte,0.0
2019-07-31,Palmawasi,0.0
2019-08-01,Nuevo Horizonte,0.0
2019-08-01,Palmawasi,0.0
2019-08-02,Nuevo Horizonte,0.0
2019-08-02,Palmawasi,0.0
2019-08-03,Nuevo Horizonte,0.0
2019-08-03,Palmawasi,0.7
2019-08-04,Nuevo Horizonte,0.0
2019-08-04,Palmawasi,0.0
2019-08-05,Nuevo Horizonte,0.0
2019-08-05,Palmawasi,0.0
2019-08-06,Nuevo Horizonte,0.0
2019-08-06,Palmawasi,0.0
2019-08-07,Nuevo Horizonte,0.0
2019-08-07,Palmawasi,0.0
2019-08-08,Nuevo Horizonte,0.0
2019-08-08,Palmawasi,0.0
2019-08-09,Nuevo Horizonte,0.0
2019-08-09,Palmawasi,0.0
2019-08-10,Nuevo Horizonte,0.0
2019-08-10,Palmawasi,0.0
2019-08-11,Nuevo Horizonte,0.0
2019-08-11,Palmawasi,0.0
2019-08-12,Nuevo Horizonte,2.0
2019-08-12,Palmawasi,40.0
2019-08-13,Nuevo Horizonte,0.0
2019-08-13,Palmawasi,14.100000000000001
2019-08-14,Nuevo Horizonte,0.4
2019-08-14,Palmawasi,60.5
2019-08-15,Nuevo Horizonte,0.0
2019-08-15,Palmawasi,0.0
2019-08-16,Nuevo Horizonte,0.0
2019-08-16,Palmawasi,0.0
2019-08-17,Nuevo Horizonte,0.0
2019-08-17,Palmawasi,0.0
2019-08-18,Nuevo Horizonte,0.0
2019-08-18,Palmawasi,0.0
2019-08-19,Nuevo Horizonte,0.0
2019-08-19,Palmawasi,0.0
2019-08-20,Nuevo Horizonte,0.0
2019-08-20,Palmawasi,145.6
2019-08-21,Nuevo Horizonte,21.0
2019-08-21,Palmawasi,114.10000000000001
2019-08-22,Nuevo Horizonte,0.0
2019-08-22,Palmawasi,0.0
2019-08-23,Nuevo Horizonte,0.0
2019-08-23,Palmawasi,0.0
2019-08-24,Nuevo Horizonte,0.0
2019-08-24,Palmawasi,0.6000000000000001
2019-08-25,Nuevo Horizonte,0.0
2019-08-25,Palmawasi,0.0
2019-08-26,Nuevo Horizonte,0.0
2019-08-26,Palmawasi,0.0
2019-08-27,Nuevo Horizonte,0.0
2019-08-27,Palmawasi,16.6
2019-08-28,Nuevo Horizonte,0.0
2019-08-28,Palmawasi,0.0
2019-08-29,Nuevo Horizonte,0.0
2019-08-29,Palmawasi,0.0
2019-08-30,Nuevo Horizonte,0.0
2019-08-30,Palmawasi,0.0
2019-08-31,Nuevo Horizonte,0.0
2019-08-31,Palmawasi,35.7
2019-09-01,Nuevo Horizonte,0.0
2019-09-01,Palmawasi,60.3
2019-09-02,Nuevo Horizonte,0.0
2019-09-02,Palmawasi,38.1
2019-09-03,Nuevo Horizonte,0.0
2019-09-03,Palmawasi,0.6000000000000001
2019-09-04,Nuevo Horizonte,0.0
2019-09-04,Palmawasi,46.3
2019-09-05,Nuevo Horizonte,0.0
2019-09-05,Palmawasi,6.7
2019-09-06,Nuevo Horizonte,0.0
2019-09-06,Palmawasi,0.2
2019-09-07,Nuevo Horizonte,0.0
2019-09-07,Palmawasi,0.0
2019-09-08,Nuevo Horizonte,0.0
2019-09-08,Palmawasi,0.0
2019-09-09,Nuevo Horizonte,0.0
2019-09-09,Palmawasi,0.0
2019-09-10,Nuevo Horizonte,0.0
2019-09-10,Palmawasi,0.0
2019-09-11,Nuevo Horizonte,0.0
2019-09-11,Palmawasi,8.8
2019-09-12,Nuevo Horizonte,4.0
2019-09-12,Palmawasi,11.5
2019-09-13,Nuevo Horizonte,3.5
2019-09-13,Palmawasi,22.1
2019-09-14,Nuevo Horizonte,0.0
2019-09-14,Palmawasi,2.1
2019-09-15,Nuevo Horizonte,0.0
2019-09-15,Palmawasi,0.0
2019-09-16,Nuevo Horizonte,0.0
2019-09-16,Palmawasi,0.0
2019-09-17,Nuevo Horizonte,0.0
2019-09-17,Palmawasi,0.0
2019-09-18,Nuevo Horizonte,0.0
2019-09-18,Palmawasi,0.0
2019-09-19,Nuevo Horizonte,0.0
2019-09-19,Palmawasi,0.0
2019-09-20,Nuevo Horizonte,0.0
2019-09-20,Palmawasi,0.0
2019-09-21,Nuevo Horizonte,6.3
2019-09-21,Palmawasi,9.4
2019-09-22,Nuevo Horizonte,0.0
2019-09-22,Palmawasi,0.0
2019-09-23,Nuevo Horizonte,21.5
2019-09-23,Palmawasi,137.2
