FECHA,PLANTACION,TIPO_PERDIDA,COSECHA TM,PERDIDA TM
2021-06-01 00:00:00,Palmawasi,Cosecha puesto,1088.0,6.84
2021-06-02 00:00:00,Palmawasi,Cosecha puesto,1301.0,10.77
2021-06-04 00:00:00,Palmawasi,Cosecha puesto,958.0,10.120000000000001
2021-06-05 00:00:00,Palmawasi,Cosecha puesto,432.0,5.1000000000000005
2021-06-08 00:00:00,Palmawasi,Cosecha puesto,1162.0,2.02
2021-06-09 00:00:00,Palmawasi,Cosecha puesto,1364.0,2.02
2021-06-10 00:00:00,Palmawasi,Cosecha puesto,585.0,0.63
2021-06-11 00:00:00,Palmawasi,Cosecha puesto,1213.0,10.11
2021-06-12 00:00:00,Palmawasi,Cosecha puesto,982.0,2.02
2021-06-15 00:00:00,Palmawasi,Cosecha puesto,1501.0,1.48
2021-06-19 00:00:00,Nuevo Horizonte,Cosecha puesto,56.0,0.08
2021-06-19 00:00:00,Palmawasi,Cosecha puesto,1440.0,18.419999999999998
2021-06-21 00:00:00,Palmawasi,Cosecha puesto,1568.0,1.52
2021-06-23 00:00:00,Palmawasi,Cosecha puesto,1194.0,4.08
2021-06-24 00:00:00,Palmawasi,Cosecha puesto,526.0,4.61
2021-06-25 00:00:00,Palmawasi,Cosecha puesto,811.0,7.069999999999999
2021-06-28 00:00:00,Palmawasi,Cosecha puesto,638.0,6.6899999999999995
2021-06-29 00:00:00,Palmawasi,Cosecha puesto,722.0,1.6400000000000001
2021-06-30 00:00:00,Palmawasi,Cosecha puesto,780.0,6.55
2021-07-02 00:00:00,Palmawasi,Cosecha puesto,760.0,15.64
2021-07-03 00:00:00,Palmawasi,Cosecha puesto,513.0,0.8600000000000001
2021-07-05 00:00:00,Palmawasi,Cosecha puesto,575.0,4.39
2021-07-06 00:00:00,Palmawasi,Cosecha puesto,818.0,2.06
2021-07-07 00:00:00,Nuevo Horizonte,Cosecha puesto,56.0,0.06
2021-07-07 00:00:00,Palmawasi,Cosecha puesto,164.0,0.38
2021-07-08 00:00:00,Palmawasi,Cosecha puesto,694.0,19.83
2021-07-09 00:00:00,Palmawasi,Cosecha puesto,640.0,1.35
2021-07-10 00:00:00,Palmawasi,Cosecha puesto,493.0,8.19
2021-07-12 00:00:00,Palmawasi,Cosecha puesto,560.0,1.85
2021-07-13 00:00:00,Palmawasi,Cosecha puesto,528.0,1.15
2021-07-14 00:00:00,Palmawasi,Cosecha puesto,688.0,6.29
2021-07-15 00:00:00,Palmawasi,Cosecha puesto,664.0,3.77
2021-07-16 00:00:00,Palmawasi,Cosecha puesto,336.0,5.58
2021-07-17 00:00:00,Palmawasi,Cosecha puesto,191.0,0.68
2021-07-21 00:00:00,Palmawasi,Cosecha puesto,769.0,3.4
