PLANTACION,FECHA,campania_min,campania_max,campania_prom,campania_median,distinct_count
Nuevo Horizonte,2022-07-07,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-08,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-09,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-11,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-12,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-13,2011.0,2014.0,2011.6,2011.0,2
Nuevo Horizonte,2022-07-14,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-15,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-16,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-18,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-19,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-20,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-21,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-22,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-23,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-25,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-26,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-07-27,2011.0,2014.0,2011.6,2011.0,2
Nuevo Horizonte,2022-07-28,2011.0,2014.0,2011.375,2011.0,2
Nuevo Horizonte,2022-08-01,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-02,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-03,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-04,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-05,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-08,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-09,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-10,2011.0,2014.0,2011.6,2011.0,2
Nuevo Horizonte,2022-08-11,2011.0,2014.0,2011.3333333333333,2011.0,2
Nuevo Horizonte,2022-08-12,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-13,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-15,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-16,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-17,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-18,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-19,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-20,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-22,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-23,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-24,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-25,2011.0,2014.0,2011.5,2011.0,2
Nuevo Horizonte,2022-08-26,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-27,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-29,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-30,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-08-31,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-01,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-02,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-03,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-05,2011.0,2014.0,2011.6,2011.0,2
Nuevo Horizonte,2022-09-06,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-07,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-08,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-09,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-10,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-12,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-13,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-14,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-15,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-16,2011.0,2014.0,2011.5,2011.0,2
Nuevo Horizonte,2022-09-17,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-19,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-20,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-21,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-22,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-23,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-24,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-26,2011.0,2014.0,2011.6,2011.0,2
Nuevo Horizonte,2022-09-27,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-28,2011.0,2011.0,2011.0,2011.0,1
Nuevo Horizonte,2022-09-29,2011.0,2011.0,2011.0,2011.0,1
