PTANIO,PTNOMBREMES,"Date(PTDIA, 'DD/MM/YYYY')",PROPIOS,TERCEROS,TOTAL,PARTICIPACION CP,PLANTACION,FECHA
2024,Junio,2024-06-14 00:00:00,37.86,147.63,185.49,0.7958919618308264,Nuevo Horizonte,2024-06-14
2024,Junio,2024-06-15 00:00:00,41.54,116.64,158.18,0.7373877860665065,Nuevo Horizonte,2024-06-15
2024,Junio,2024-06-16 00:00:00,18.17,4.55,22.72,0.2002640845070423,Nuevo Horizonte,2024-06-16
2024,Junio,2024-06-17 00:00:00,0.0,161.73,161.73,1.0,Nuevo Horizonte,2024-06-17
2024,Junio,2024-06-18 00:00:00,26.6,238.27,264.87,0.8995733756182278,Nuevo Horizonte,2024-06-18
2024,Junio,2024-06-19 00:00:00,43.32,161.7,205.02,0.7887035411179397,Nuevo Horizonte,2024-06-19
2024,Junio,2024-06-20 00:00:00,0.0,294.61,294.61,1.0,Nuevo Horizonte,2024-06-20
2024,Junio,2024-06-21 00:00:00,50.92,208.92,259.84,0.8040332512315271,Nuevo Horizonte,2024-06-21
2024,Junio,2024-06-22 00:00:00,75.82000000000001,166.96,242.78,0.6877007990773539,Nuevo Horizonte,2024-06-22
2024,Junio,2024-06-23 00:00:00,0.0,32.1,32.1,1.0,Nuevo Horizonte,2024-06-23
2024,Junio,2024-06-24 00:00:00,0.0,52.51,52.51,1.0,Nuevo Horizonte,2024-06-24
2024,Junio,2024-06-25 00:00:00,29.45,168.25,197.7,0.8510369246332827,Nuevo Horizonte,2024-06-25
2024,Junio,2024-06-26 00:00:00,0.0,11.31,11.31,1.0,Nuevo Horizonte,2024-06-26
2024,Junio,2024-06-28 00:00:00,50.77,276.21,326.98,0.8447305645605235,Nuevo Horizonte,2024-06-28
2024,Junio,2024-06-29 00:00:00,90.43,235.44,325.87,0.7224967011384908,Nuevo Horizonte,2024-06-29
2024,Junio,2024-06-30 00:00:00,10.32,58.14,68.46000000000001,0.8492550394390885,Nuevo Horizonte,2024-06-30
2024,Julio,2024-07-01 00:00:00,0.0,31.16,31.16,1.0,Nuevo Horizonte,2024-07-01
2023,Enero,2023-01-02 00:00:00,107.02,88.54,195.56,0.4527510738392309,Nuevo Horizonte,2023-01-02
2023,Enero,2023-01-03 00:00:00,15.45,199.32,214.77,0.9280625785724264,Nuevo Horizonte,2023-01-03
2023,Enero,2023-01-04 00:00:00,59.57,210.47,270.04,0.7794030513997926,Nuevo Horizonte,2023-01-04
2023,Enero,2023-01-05 00:00:00,118.15,174.66,292.81,0.5964960213107476,Nuevo Horizonte,2023-01-05
2023,Enero,2023-01-06 00:00:00,29.84,210.31,240.15,0.8757443264626276,Nuevo Horizonte,2023-01-06
2023,Enero,2023-01-07 00:00:00,109.81,160.65,270.46,0.5939880204096724,Nuevo Horizonte,2023-01-07
2023,Enero,2023-01-08 00:00:00,52.88,19.43,72.31,0.2687041902917992,Nuevo Horizonte,2023-01-08
2023,Enero,2023-01-09 00:00:00,32.18,190.42,222.6,0.8554357592093441,Nuevo Horizonte,2023-01-09
2023,Enero,2023-01-10 00:00:00,30.86,265.85,296.71,0.8959927201644704,Nuevo Horizonte,2023-01-10
2023,Enero,2023-01-11 00:00:00,29.22,262.35,291.57,0.8997839283876942,Nuevo Horizonte,2023-01-11
2023,Enero,2023-01-12 00:00:00,45.07,260.9,305.97,0.8526979769258425,Nuevo Horizonte,2023-01-12
2023,Enero,2023-01-13 00:00:00,43.49,206.36,249.85,0.8259355613368021,Nuevo Horizonte,2023-01-13
2023,Enero,2023-01-14 00:00:00,28.56,207.51,236.07,0.8790189350616343,Nuevo Horizonte,2023-01-14
2023,Enero,2023-01-15 00:00:00,0.0,22.71,22.71,1.0,Nuevo Horizonte,2023-01-15
2023,Enero,2023-01-16 00:00:00,0.0,157.96,157.96,1.0,Nuevo Horizonte,2023-01-16
2023,Enero,2023-01-17 00:00:00,0.0,137.18,137.18,1.0,Nuevo Horizonte,2023-01-17
2023,Enero,2023-01-18 00:00:00,0.0,196.09,196.09,1.0,Nuevo Horizonte,2023-01-18
2023,Enero,2023-01-19 00:00:00,9.56,231.26,240.82,0.9603023004733826,Nuevo Horizonte,2023-01-19
2023,Enero,2023-01-20 00:00:00,5.7,131.06,136.76,0.9583211465340742,Nuevo Horizonte,2023-01-20
2023,Enero,2023-01-21 00:00:00,5.600000000000001,181.21,186.81,0.9700230180397195,Nuevo Horizonte,2023-01-21
2023,Enero,2023-01-22 00:00:00,0.0,21.05,21.05,1.0,Nuevo Horizonte,2023-01-22
2023,Enero,2023-01-23 00:00:00,0.0,187.93,187.93,1.0,Nuevo Horizonte,2023-01-23
2023,Enero,2023-01-24 00:00:00,31.99,243.4,275.39,0.8838374668651732,Nuevo Horizonte,2023-01-24
2023,Enero,2023-01-25 00:00:00,30.15,212.67,242.82,0.8758339510748703,Nuevo Horizonte,2023-01-25
2023,Enero,2023-01-26 00:00:00,15.27,245.69,260.96,0.9414852851011649,Nuevo Horizonte,2023-01-26
2023,Enero,2023-01-27 00:00:00,36.8,187.16,223.96,0.8356849437399536,Nuevo Horizonte,2023-01-27
2023,Enero,2023-01-28 00:00:00,35.35,203.58,238.93,0.8520487171975055,Nuevo Horizonte,2023-01-28
2023,Enero,2023-01-29 00:00:00,0.0,51.61,51.61,1.0,Nuevo Horizonte,2023-01-29
2023,Enero,2023-01-30 00:00:00,39.64,201.37,241.01,0.8355254968673499,Nuevo Horizonte,2023-01-30
2023,Enero,2023-01-31 00:00:00,61.43,187.98,249.41,0.753698729000441,Nuevo Horizonte,2023-01-31
